electricity-load-profile;service-water-demand-profile;drinking-water-demand;ghi-profile;air-temperature-profile;surface-roughness-profile;wind-speed-profile;timeindex
19.7173;0.0;0.0;0.0;285.0667724609;0.5929519534;10.391137996513601;2022-01-01T00:00:00Z
30.56695;0.0;0.0;0.0;284.8693847656;0.5930389762;10.348953314618457;2022-01-01T01:00:00Z
33.133716666666665;0.0;0.0;0.0;284.9034423828;0.5930828452;10.26849453665063;2022-01-01T02:00:00Z
34.6501;0.0;0.0;0.0;285.0653991699;0.5930709243;10.405707502344372;2022-01-01T03:00:00Z
32.31705;0.0;0.0;0.0;285.0286254883;0.5930085778;9.90513308981932;2022-01-01T04:00:00Z
35.00065;0.0;0.0;0.0;284.9782104492;0.5929085016;9.30728036664778;2022-01-01T05:00:00Z
60.03415;0.0;0.0;0.0;284.9739685059;0.5929011106;9.59395895396608;2022-01-01T06:00:00Z
53.633833333333335;24.980888888888888;20.119;0.0;284.9001159668;0.5928329229;9.231578589871116;2022-01-01T07:00:00Z
68.3335;35.635555555555555;5.119;0.00112;284.9043273926;0.5927506685;9.006269083372489;2022-01-01T08:00:00Z
41.50076666666666;16.98988888888889;0.1199999999999999;0.009333333333333332;285.1080322266;0.592792213;8.949609421028628;2022-01-01T09:00:00Z
66.00006666666667;0.0;0.0;0.018666666666666665;285.1579589844;0.5927274823;8.643612167063978;2022-01-01T10:00:00Z
70.0;0.0;0.0;0.04071111111111111;285.4299316406;0.5921645164;8.067187737552658;2022-01-01T11:00:00Z
69.83415;0.0;0.0;0.035448888888888884;285.580657959;0.5916621685;7.745037279897227;2022-01-01T12:00:00Z
47.00138333333334;0.0;0.0;0.03411555555555555;285.608215332;0.5912414193;7.333461724431224;2022-01-01T13:00:00Z
25.00175;0.0;0.0;0.02807111111111111;285.506652832;0.5910419822;6.665416849528622;2022-01-01T14:00:00Z
33.00161666666666;0.0;0.0;0.008017777777777776;285.2485961914;0.5909538865;6.554176392680022;2022-01-01T15:00:00Z
234.83435;0.0;0.0;0.0;284.9186401367;0.5909841657;6.12053313624237;2022-01-01T16:00:00Z
50.33521666666666;0.0;0.0;0.0;284.7530517578;0.5911079645;6.167652333756229;2022-01-01T17:00:00Z
84.81773333333332;0.0;0.0;0.0;284.5010375977;0.5911837816;6.3204834442744415;2022-01-01T18:00:00Z
85.1006;0.0;0.0;0.0;284.4860839844;0.5912643671;6.605916713209549;2022-01-01T19:00:00Z
37.00173333333333;0.0;0.0;0.0;284.4453735352;0.5913069844;6.867122843521285;2022-01-01T20:00:00Z
26.3181;0.0;0.0;0.0;284.1733703613;0.5913401246;6.452527388718955;2022-01-01T21:00:00Z
43.985716666666654;0.0;0.0;0.0;283.6802978516;0.5908572674;7.648369429358366;2022-01-01T22:00:00Z
799.7181;0.0;0.0;0.0;282.9494628906;0.5908254385;8.017009400554109;2022-01-01T23:00:00Z
21.5834;0.0;0.0;0.0;282.2477416992;0.5909847021;7.802890474201005;2022-01-02T00:00:00Z
35.11685;0.0;0.0;0.0;281.7454833984;0.5911451578;7.5659650587437035;2022-01-02T01:00:00Z
32.316716666666665;0.0;0.0;0.0;281.3665771484;0.5913117528;8.294583276642415;2022-01-02T02:00:00Z
34.18333333333334;0.0;0.0;0.0;281.2702941895;0.5914671421;8.628477663937232;2022-01-02T03:00:00Z
