animal-urine-profile;animal-feces-profile;human-urine-profile;human-feces-profile;household-grey-water-profile;drinking-water-demand;electricity-load-profile;timeindex
0.0012204632083891;1.5508572177797315;5.856866107274798e-05;0.0112626798769079;0.0026539698025111;0.0;19.7173;2022-01-01T00:00:00Z
0.0013287950925464;1.7867306634890523;6.005309379476794e-05;0.0100980435345572;0.0023983035866289;0.0;30.56695;2022-01-01T01:00:00Z
0.0012982415322774;1.8186410318653667;6.32899025410063e-05;0.0101415772123627;0.002460912536993;0.0;33.133716666666665;2022-01-01T02:00:00Z
0.0013608212502991;1.6860703422550136;6.68059520334987e-05;0.0098578288426269;0.0027352045166745;0.0;34.6501;2022-01-01T03:00:00Z
0.0012194518896976;1.855573830784421;6.605774377701767e-05;0.0108673998069399;0.0025139917978383;0.0;32.31705;2022-01-01T04:00:00Z
0.0011441302575806;1.6730740647690627;6.823917295380438e-05;0.0092179485953748;0.0026131923454386;0.0;35.00065;2022-01-01T05:00:00Z
0.0012869873698755;1.5517576718680293;6.61458140175991e-05;0.0113254227938627;0.0024038981897054;0.0;60.03415;2022-01-01T06:00:00Z
0.0012329050131414;1.7403387652200897;6.717316457241982e-05;0.0100202047391171;0.0027118347218582;20.119;53.633833333333335;2022-01-01T07:00:00Z
0.0012180013951168;1.7327838600197691;6.032557100753592e-05;0.0105828328625297;0.002562425893263;5.119;68.3335;2022-01-01T08:00:00Z
0.0012811237502822;1.757008851924639;5.9332336420686767e-05;0.0102867862627721;0.0024685615008834;0.1199999999999999;41.50076666666666;2022-01-01T09:00:00Z
0.0012788007724039;1.6446888896782166;6.557572000071352e-05;0.0111781812172109;0.0026325799088439;0.0;66.00006666666667;2022-01-01T10:00:00Z
0.0013842714126651;1.6319126278649807;6.628240934879535e-05;0.0093436767138033;0.0026513900319531;0.0;70.0;2022-01-01T11:00:00Z
0.0012464053693156;1.752067333205911;6.223557683322787e-05;0.0102487410395762;0.0024390420332298;0.0;69.83415;2022-01-01T12:00:00Z
0.001230978998049;1.768532036431548;6.6543659144337e-05;0.0102166383569435;0.0024840168322107;0.0;47.00138333333334;2022-01-01T13:00:00Z
0.0011761659252958;1.794765061377616;6.481542404621723e-05;0.0110071715845497;0.0024034601813255;0.0;25.00175;2022-01-01T14:00:00Z
0.0012723344461356;1.6810199500692535;6.515193665457797e-05;0.0098438066316072;0.0023672937677845;0.0;33.00161666666666;2022-01-01T15:00:00Z
0.0012712778032303;1.544591349033018;6.606764144117247e-05;0.0103268603085674;0.0025793269789817;0.0;234.83435;2022-01-01T16:00:00Z
