human-urine-profile;human-feces-profile;animal-urine-profile;animal-feces-profile;household-grey-water-profile;air-temperature-profile;ghi-profile;drinking-water-demand;electricity-load-profile;cf-aware-profile;timeindex
5.86e-05;0.01126268;0.001220463;1.550857218;0.00265397;22.9695129395;0.0;0.0;0.0;2.64;2023-01-01T00:00:00Z
6.01e-05;0.010098044;0.001328795;1.786730663;0.002398304;22.2057189941;0.0;0.0;0.0;2.64;2023-01-01T01:00:00Z
6.33e-05;0.010141577;0.001298242;1.818641032;0.002460913;20.5112609863;0.0;0.0;0.0;2.64;2023-01-01T02:00:00Z
6.68e-05;0.009857829;0.001360821;1.686070342;0.002735205;19.9466552734;0.0;0.0;0.0;2.64;2023-01-01T03:00:00Z
6.61e-05;0.0108674;0.001219452;1.855573831;0.002513992;19.2438659668;0.0;0.0;0.258481433333333;2.64;2023-01-01T04:00:00Z
6.82e-05;0.009217949;0.00114413;1.673074065;0.002613192;22.2774353027;53.1199989319;0.481436000000001;4.472042683333341;2.64;2023-01-01T05:00:00Z
6.61e-05;0.011325423;0.001286987;1.551757672;0.002403898;24.7145996094;245.6888885498;11.703080666666692;18.22507505000005;2.64;2023-01-01T06:00:00Z
6.72e-05;0.010020205;0.001232905;1.740338765;0.002711835;26.6075439453;522.7911376953;39.33397566666672;15.544359750000044;2.64;2023-01-01T07:00:00Z
6.03e-05;0.010582833;0.001218001;1.73278386;0.002562426;29.6527709961;747.0755615234;39.52674933333337;1.8188459499999967;2.64;2023-01-01T08:00:00Z
5.93e-05;0.010286786;0.001281124;1.757008852;0.002468562;30.3369445801;927.4310913086;11.96062000000002;0.6381031999999961;2.64;2023-01-01T09:00:00Z
6.56e-05;0.011178181;0.001278801;1.64468889;0.00263258;33.7540588379;1027.2177734375;19.373440333333377;0.6153540666666633;2.64;2023-01-01T10:00:00Z
6.63e-05;0.009343677;0.001384271;1.631912628;0.00265139;33.8580627441;901.4755859375;12.448215833333355;0.6396024666666633;2.64;2023-01-01T11:00:00Z
6.22e-05;0.010248741;0.001246405;1.752067333;0.002439042;34.9091796875;988.5155639648;0.0;0.645771099999997;2.64;2023-01-01T12:00:00Z
6.65e-05;0.010216638;0.001230979;1.768532036;0.002484017;35.0851745605;865.9910888672;8.112439000000007;0.74293118333333;2.64;2023-01-01T13:00:00Z
6.48e-05;0.011007172;0.001176166;1.794765061;0.00240346;35.2609558105;739.6799926758;8.104406;0.6665219833333292;2.64;2023-01-01T14:00:00Z
6.52e-05;0.009843807;0.001272334;1.68101995;0.002367294;33.3446960449;561.8488769531;11.675758666666672;0.6172770666666627;2.64;2023-01-01T15:00:00Z
6.61e-05;0.01032686;0.001271278;1.544591349;0.002579327;32.4288024902;337.2799987793;20.01485733333336;2.766794616666662;2.64;2023-01-01T16:00:00Z
6.26e-05;0.009959449;0.001165639;1.692691879;0.002782861;29.5893859863;104.2844467163;30.486020000000035;33.408248666666736;2.64;2023-01-01T17:00:00Z
