name;type;carrier;tech;capacity;capacity_cost;marginal_cost;carrier_cost;specific_energy_consumption;conversion_rate_feed_bus;from_bus_0;from_bus_1;to_bus;expandable; CO2_emissions; land_requirement_factor; water_footprint; verbose_name
cartridge_filter;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Cartridge Filter"
activated_carbon_filter;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Activated Carbon Filter"
chlorination;conversion;water;water_purification;0;;;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Chlorination Unit"
microfiltration;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Microfiltration"
ultrafiltration;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Ultrafiltration"
nanofiltration;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Nanofiltration"
ceramic_filter;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Ceramic Filter"
slow_sand_filter;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"Slow Sand Filter"
uv_disinfection;conversion;water;water_purification;0;;0;0;0.9;1;feed-bus;water-distribution-bus;ac-elec-bus;true;;;;"UV-Disinfection"

# water purificaiton is modeled is two inputs (electricity, water) - one output transformer (water)
# TODO find solution for case that various filtration nad desalination system are put in series..
# specific energy consumption eqauls  conversion_factor_ac-elec-bus (some kind of efficiency)
# conversion_rate_feed_bus always equals 1; could be omitted
