name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;brine_out_bus;expandable
DW_microfiltration_1;microfiltration;water;water-treatment;0.0;600.0;inf;0;0;1200.0;50.0;12.0;0.2;0.97;0.0;0.12;0.07;0.04;ac-elec-bus;DW_parallel_6_out_bus;DW_microfiltration_1_out_bus;brine-bus;True
DW_ultrafiltration_1;ultrafiltration;water;water-treatment;0.0;700.0;inf;0;0;1300.0;50.0;12.0;0.25;0.98;0.0;0.12;0.07;0.04;ac-elec-bus;DW_microfiltration_1_out_bus;DW_ultrafiltration_1_out_bus;brine-bus;True
DW_nanofiltration_1;nanofiltration;water;water-treatment;0.0;1000.0;inf;0;0;2000.0;60.0;12.0;0.5;0.9;0.0;0.12;0.1;0.08;ac-elec-bus;DW_ion_exchange_1_out_bus;DW_nanofiltration_1_out_bus;brine-bus;True
DW_electrodialysis_1;electrodialysis;water;water-treatment;0.0;700.0;inf;0;0;1400.0;40.0;15.0;0.9;0.75;0.0;0.1;0.1;0.008;ac-elec-bus;DW_nanofiltration_1_out_bus;DW_parallel_12_out_bus;brine-bus;True
DW_reverse_osmosis_1;reverse_osmosis;water;water-treatment;100.0;700.0;inf;0;0;1400.0;55.0;12.0;2.5;0.6;0.0;0.1;0.12;0.5;ac-elec-bus;DW_nanofiltration_1_out_bus;DW_parallel_12_out_bus;brine-bus;True
DW_membrane_distillation_1;membrane_distillation;water;water-treatment;0.0;700.0;inf;0;0;1400.0;70.0;15.0;5.0;0.75;0.0;0.3;0.12;0.01;ac-elec-bus;DW_parallel_12_out_bus;DW_membrane_distillation_1_out_bus;brine-bus;True
