e,fdir,fsr,sp,ssrd,t2m,tp,u10,u100,v10,v100
1.10059e-05,0.0,0.5929519534,101096.0625,0.0,285.0667724609,2.38419e-05,6.022567749,10.3615570068,0.6981048584,0.7835083008
9.092e-06,0.0,0.5930389762,101114.25,0.0,284.8693847656,0.0004439354,5.9173583984,10.3408966064,0.4595031738,0.4082794189
8.6392e-06,0.0,0.5930828452,101204.734375,0.0,284.9034423828,0.0003170967,5.83253479,10.2357177734,-0.2110900879,-0.8197937012
5.401e-06,0.0,0.5930709243,101248.1796875,0.0,285.0653991699,0.0002288818,5.9732513428,10.33644104,-0.4835357666,-1.198638916
1.0412e-06,0.0,0.5930085778,101271.296875,0.0,285.0286254883,9.34601e-05,5.6395568848,9.8571166992,-0.309387207,-0.9741210938
7.5472e-06,0.0,0.5929085016,101331.703125,0.0,284.9782104492,4.76837e-05,5.3069152832,9.3022155762,0.0793914795,-0.3070068359
1.04704e-05,0.0,0.5929011106,101394.84375,0.0,284.9739685059,1.9073e-06,5.5456542969,9.5936279297,0.315246582,0.0796966553
2.98e-07,0.0,0.5928329229,101438.171875,0.0,284.9001159668,0.0001921654,5.4166259766,9.2314300537,0.1908416748,-0.0523681641
3.1972e-06,0.0,0.5927506685,101513.296875,4032.0,284.9043273926,2.861e-06,5.3287506104,8.9817810059,-0.1858520508,-0.6636962891
2.0738e-06,0.0,0.592792213,101576.21875,33600.0,285.1080322266,2.28882e-05,5.3174591064,8.8475189209,-0.6615753174,-1.3479309082
-1.6661e-06,64.0,0.5927274823,101637.765625,67200.0,285.1579589844,1.23978e-05,4.9274902344,8.497543335,-0.5993652344,-1.5823364258
-1.30704e-05,1472.0,0.5921645164,101644.4453125,146560.0,285.4299316406,2.861e-06,4.6068115234,7.9364776611,-0.5641937256,-1.4463195801
-9.9288e-06,640.0,0.5916621685,101652.78125,127616.0,285.580657959,1.9073e-06,4.4863739014,7.6712188721,-0.4145202637,-1.0667724609
-7.3442e-06,0.0,0.5912414193,101689.984375,122816.0,285.608215332,6.6757e-06,4.1560974121,7.3274841309,0.0979919434,-0.2960357666
-4.4154e-06,4096.0,0.5910419822,101682.3671875,101056.0,285.506652832,1.00136e-05,3.4950714111,6.6214294434,0.7506256104,0.7644958496
4.9945e-06,0.0,0.5909538865,101719.0,28864.0,285.2485961914,3.8147e-06,3.3132629395,6.4295806885,0.9870300293,1.2718963623
8.0506e-06,0.0,0.5909841657,101733.875,0.0,284.9186401367,3.8147e-06,2.6400909424,5.7967071533,1.3587493896,1.9644622803
7.7223e-06,0.0,0.5911079645,101727.796875,0.0,284.7530517578,5.722e-06,2.0922088623,5.2530975342,1.8485870361,3.2318572998
4.7998e-06,0.0,0.5911837816,101716.0625,0.0,284.5010375977,8.5831e-06,1.8966217041,4.9189758301,2.1022186279,3.9689025879
-1.2321e-06,0.0,0.5912643671,101705.0546875,0.0,284.4860839844,0.0001506805,1.6918182373,4.5459899902,2.4811401367,4.7929229736
-1.18751e-05,0.0,0.5913069844,101713.65625,0.0,284.4453735352,0.0,1.8288574219,4.9398193359,2.5839538574,4.7702789307
-8.9041e-06,0.0,0.5913401246,101606.8125,0.0,284.1733703613,0.0,0.702835083,3.029006958,2.923828125,5.6973876953
-2.5942e-06,0.0,0.5908572674,101543.96875,0.0,283.6802978516,0.0,1.6180877686,3.8187255859,3.5115356445,6.6268310547
-2.689e-07,0.0,0.5908254385,101494.0390625,0.0,282.9494628906,0.0,1.6666870117,3.9446411133,3.7561340332,6.9794158936
1.03309e-05,0.0,0.5909847021,101435.7578125,0.0,282.2477416992,0.0,1.5139465332,3.7454986572,3.6764831543,6.8451690674
5.6992e-06,0.0,0.5911451578,101362.2890625,0.0,281.7454833984,0.0,1.0701751709,3.1764373779,3.6587982178,6.8668823242
8.8126e-06,0.0,0.5913117528,101230.359375,0.0,281.3665771484,0.0,0.51222229,2.1926422119,4.2529907227,7.9995269775
9.7959e-06,0.0,0.5914671421,101138.96875,0.0,281.2702941895,0.0,1.362701416,3.4170379639,4.3192901611,7.923034668
8.9491e-06,0.0,0.5917115211,101093.53125,0.0,281.2901611328,0.0,2.3695526123,5.2412414551,3.8007659912,6.7853851318
1.47682e-05,0.0,0.5919288397,101013.609375,0.0,281.1763305664,0.0,2.528503418,5.9676971436,3.2051239014,5.5542907715
1.17929e-05,0.0,0.5921058059,100918.40625,0.0,281.1340942383,0.0,2.3677215576,5.9969329834,3.1594085693,5.2901153564
6.1463e-06,0.0,0.5922163129,100851.3203125,0.0,281.3273010254,0.000603199,2.7165679932,6.2455291748,3.2216033936,5.6512451172
-1.0417e-06,1536.0,0.5922753811,100845.3046875,23232.0,281.7844238281,0.0002307892,3.2489318848,6.9297485352,3.139251709,5.5650482178
-2.39485e-05,6848.0,0.5929013491,100822.8125,108160.0,282.5789489746,0.0002965927,3.5031585693,7.3938751221,3.0870819092,5.1346130371
-5.06081e-05,27712.0,0.5930321813,100723.125,219392.0,283.8035888672,9.48906e-05,5.0000762939,9.2506103516,2.3477478027,3.0336456299
-5.10404e-05,14336.0,0.5928847194,100617.234375,288640.0,284.1318969727,6.4373e-05,3.1808319092,6.4904632568,2.9716796875,4.6454620361
-4.39656e-05,7744.0,0.5929995775,100446.421875,229376.0,283.8141479492,0.0002608299,1.1089782715,3.1726837158,3.2781524658,5.7420959473
-5.31713e-05,1024.0,0.5930726528,100357.296875,192000.0,283.5334472656,0.0002365112,3.5233001709,5.8680114746,4.8733825684,8.0724639893
-5.10369e-05,5312.0,0.5929086208,100251.796875,130432.0,283.5645751953,0.0002555847,3.8451538086,6.8202209473,5.5922698975,9.0311431885
-6.01299e-05,960.0,0.5923120379,100190.359375,15360.0,283.5114440918,0.0006308556,4.6764831543,7.9930267334,5.0087432861,8.1079559326
-7.46634e-05,0.0,0.5915706754,100224.0,0.0,283.8233032227,6.10352e-05,6.2769927979,10.5053253174,3.7685852051,5.7953491211
-6.29711e-05,0.0,0.5907495022,100179.4921875,0.0,284.1758728027,4.768e-07,6.5482025146,10.5496826172,3.0846862793,4.4556884766
-4.59303e-05,0.0,0.5897904634,100173.296875,0.0,284.305267334,1.9073e-06,6.9537200928,10.8986206055,3.3741149902,4.7639312744
-6.4248e-05,0.0,0.5889035463,100141.3515625,0.0,284.5977783203,0.0,7.0657653809,11.1544799805,3.0120697021,4.359588623
-4.21309e-05,0.0,0.5884409547,100132.65625,0.0,284.4125061035,9.537e-07,6.4351043701,10.6556091309,2.4190216064,3.6001434326
-2.90284e-05,0.0,0.5881682634,100197.828125,0.0,283.7955322266,1.4305e-06,6.3322906494,10.6585693359,2.1204071045,3.2180480957
-2.04444e-05,0.0,0.5889903903,100183.984375,0.0,283.8327026367,0.0,5.2873077393,9.3808746338,2.2160186768,3.4414215088
-1.11149e-05,0.0,0.5890563726,100159.890625,0.0,283.4135131836,0.0,4.5015869141,8.2780914307,2.0650482178,3.402923584
-9.2287e-06,0.0,0.589034915,100096.0859375,0.0,282.8942871094,0.000243187,3.5426483154,7.2304382324,2.7162017822,4.7158508301
-1.6998e-05,0.0,0.5897966027,100018.125,0.0,282.0241088867,0.0007228851,3.3726043701,6.996307373,3.2623443604,5.5968780518
-2.92857e-05,0.0,0.5927363634,99939.6875,0.0,281.5979309082,0.0013384819,4.7408599854,8.6910552979,3.2417449951,5.1998748779
