e,fdir,fsr,sp,ssrd,t2m,tp,u10,u100,v10,v100
-3.71842e-05,0.0,0.593113184,99883.921875,0.0,281.8751220703,0.0014624596,5.4988250732,9.6954498291,2.9828033447,4.6037750244
-7.75938e-05,0.0,0.5931774974,99851.9140625,0.0,282.0256958008,0.0009036064,7.6038360596,12.7108612061,1.824508667,2.6629486084
-0.0001007051,0.0,0.5931972861,99881.40625,0.0,281.8012695312,0.0008425713,8.3794555664,13.737197876,0.7971954346,0.9310913086
-8.81881e-05,0.0,0.5931971073,99961.46875,0.0,281.4347229004,0.0007748604,8.6215362549,13.8904571533,-0.3285980225,-0.8937530518
-8.17052e-05,0.0,0.5929428935,100067.125,0.0,281.3885498047,0.0005893707,7.3688049316,12.0527191162,-0.2345733643,-0.76171875
-5.77006e-05,3712.0,0.592325747,100164.75,16448.0,281.2674560547,0.0002880096,6.6163024902,11.1017150879,0.6114501953,0.6508483887
-6.85304e-05,43712.0,0.591524899,100164.8125,158528.0,281.4655456543,8.4877e-05,5.9970397949,10.2125396729,1.1423339844,1.4151611328
-7.6751e-05,98240.0,0.5910840631,100214.046875,270656.0,281.8909606934,1.85966e-05,5.9970245361,10.0511322021,1.9810180664,2.8239135742
-9.77374e-05,207232.0,0.5898178816,100193.6796875,467200.0,282.40234375,0.0001592636,6.0808258057,9.9880065918,2.0764160156,2.8933410645
-9.53737e-05,165056.0,0.5887660384,100150.328125,418560.0,282.6819152832,2.52724e-05,6.0581970215,9.9261627197,2.5448150635,3.6380615234
-8.1352e-05,191040.0,0.5880587101,100110.078125,407872.0,282.5798034668,7.34329e-05,5.735824585,9.4669036865,2.5743560791,3.8285827637
-5.60721e-05,65920.0,0.5876934528,100052.0703125,201984.0,282.4458312988,2.09808e-05,5.3724060059,9.1987915039,3.0028991699,4.5706176758
-3.36217e-05,23616.0,0.5874530077,100008.15625,68992.0,282.1089172363,2.38419e-05,4.9727020264,8.754989624,2.7896270752,4.3496551514
-2.19964e-05,0.0,0.5873544812,99986.734375,0.0,281.6897583008,1.62125e-05,4.9830932617,9.1212768555,2.3664550781,3.6801605225
-1.83068e-05,0.0,0.5872861743,99959.4765625,0.0,281.2668457031,9.537e-07,4.5153503418,8.5088348389,2.6239929199,4.1776123047
-1.31638e-05,0.0,0.5872542262,99936.40625,0.0,280.752746582,4.2915e-06,4.735534668,8.6739501953,2.8456726074,4.6337432861
-9.8394e-06,0.0,0.5871925354,99884.9296875,0.0,280.67578125,2.57492e-05,3.8385772705,7.5221557617,2.5923614502,4.2999572754
-1.2975e-05,0.0,0.5871961713,99850.5234375,0.0,280.3403930664,6.00815e-05,3.7268981934,7.4262695312,3.2338256836,5.4116973877
-1.15463e-05,0.0,0.5873063207,99830.359375,0.0,280.3296203613,3.19481e-05,3.8011627197,7.5006561279,3.4467010498,5.694229126
-1.09982e-05,0.0,0.5878446102,99771.234375,0.0,279.9286499023,7.6294e-06,3.8704986572,7.382232666,3.19581604,5.3079223633
-1.06511e-05,0.0,0.5877584815,99731.65625,0.0,279.6983032227,9.537e-07,3.4897918701,6.9581451416,3.0329284668,5.0832672119
-6.4017e-06,0.0,0.5877113938,99627.59375,0.0,279.4492797852,1.4305e-06,3.294708252,6.6070709229,3.2151641846,5.4354248047
-6.7113e-06,0.0,0.5876752734,99608.15625,0.0,279.4694824219,2.3842e-06,3.4841461182,6.8008117676,3.2586669922,5.3891296387
-5.8629e-06,0.0,0.5876294374,99508.546875,0.0,279.7036132812,1.9073e-06,3.1358032227,6.3546905518,3.0587768555,5.1840515137
-3.7046e-06,0.0,0.587629199,99432.578125,0.0,279.434753418,2.861e-06,2.5163574219,5.7813415527,2.7917175293,5.1986236572
-1.739e-06,0.0,0.5876526833,99372.8671875,0.0,279.2678222656,4.2915e-06,2.4358825684,5.4815063477,2.7720031738,5.0347137451
-8.277e-07,0.0,0.587744236,99261.4375,0.0,278.9952392578,8.5831e-06,2.0012359619,4.535446167,2.6999053955,4.96824646
-6.189e-07,0.0,0.5878683925,99194.859375,0.0,279.0037231445,9.63211e-05,1.8436431885,4.2948608398,2.7632293701,5.1506500244
8.8736e-06,0.0,0.5879803896,99125.15625,0.0,279.0502319336,3.38554e-05,1.6855316162,4.2150421143,2.4694976807,4.7270050049
5.8585e-06,64.0,0.5881301165,99066.84375,16704.0,279.2506713867,5.62668e-05,1.5913543701,4.1214294434,2.7916412354,5.0958709717
-4.5365e-06,64.0,0.5883124471,99018.953125,100672.0,279.5654296875,0.000128746,1.5133056641,3.7883605957,2.7826385498,4.8648223877
-1.69713e-05,1856.0,0.5923855305,98895.328125,226496.0,279.5978088379,0.0001516342,1.5089111328,3.3478546143,2.7710876465,4.5898895264
-2.56326e-05,1152.0,0.5929902792,98884.140625,232960.0,279.8268432617,0.0002212524,1.0951690674,2.8741455078,2.889755249,4.9201507568
-3.11672e-05,2112.0,0.5929905772,98764.2578125,244480.0,279.8176574707,0.0002708435,1.485244751,3.5431213379,2.6452789307,4.1460723877
-2.74279e-05,0.0,0.5929905176,98692.7109375,175552.0,280.0121459961,0.0003080368,2.0136413574,4.4185180664,2.3406066895,3.0846862793
-2.43331e-05,0.0,0.5929972529,98668.328125,95104.0,279.9502258301,0.0003004074,3.188369751,5.9573669434,1.7932891846,2.442199707
-1.22355e-05,512.0,0.5930053592,98662.15625,41792.0,279.6895141602,0.0001735687,3.2931518555,6.2504272461,1.6530456543,2.1129608154
-5.0243e-06,0.0,0.5930178165,98683.234375,0.0,279.3031311035,5.43594e-05,3.8717956543,7.4292602539,1.665725708,2.2218475342
-9.0287e-06,0.0,0.5930433869,98712.25,0.0,279.1128540039,1.14441e-05,4.1979370117,8.2701568604,1.7608337402,2.5764923096
-2.07385e-05,0.0,0.5930390358,98752.859375,0.0,279.0071411133,1.23978e-05,4.2794952393,8.188079834,1.1497039795,1.6194458008
-6.0366e-06,0.0,0.5930310488,98771.90625,0.0,279.2549133301,8.96454e-05,4.0579223633,7.6519927979,0.9206085205,1.255355835
-2.04344e-05,0.0,0.5930196643,98825.703125,0.0,279.1227416992,9.05991e-05,3.7358551025,7.0411529541,0.9951477051,1.4835510254
-1.39035e-05,0.0,0.5930202007,98883.7890625,0.0,278.7680969238,2.81334e-05,3.8442077637,6.9135437012,0.5758361816,0.7235412598
-4.2215e-06,0.0,0.5929210782,98979.703125,0.0,278.475402832,8.5831e-06,3.7189331055,6.5741119385,-0.2332000732,-0.9638214111
-2.2273e-06,0.0,0.5928894877,98997.40625,0.0,277.7389526367,3.3379e-06,3.0570068359,5.9199371338,-0.0578460693,-0.7220153809
2.4298e-06,0.0,0.5929065943,98970.09375,0.0,276.6828918457,4.768e-07,2.1910400391,4.8616943359,0.5228424072,0.2032470703
-8.4e-09,0.0,0.5928902626,99017.5625,0.0,276.021484375,0.0,2.6525115967,5.6872711182,1.4445343018,1.9164428711
-6.5905e-06,0.0,0.5928446054,99029.09375,0.0,275.9212036133,0.0,3.1556396484,6.2004699707,1.5149688721,2.2573394775
-4.0475e-06,0.0,0.5928685665,99010.109375,0.0,275.7353515625,4.768e-07,3.1862335205,6.2429046631,1.5670623779,2.1624298096
-3.241e-06,0.0,0.5929177999,98988.953125,0.0,275.4963378906,4.768e-07,3.2745513916,6.0757446289,1.6660919189,1.9630126953
-9.8087e-06,0.0,0.5928942561,99038.171875,0.0,275.3165588379,4.768e-07,3.5785675049,6.5792236328,1.7761077881,2.2142791748
-1.3958e-05,0.0,0.5929435492,99049.703125,0.0,275.2029418945,0.0,3.9030761719,7.1182098389,1.8744812012,2.4101104736
-1.42877e-05,0.0,0.5930377245,99033.828125,0.0,275.3157958984,2.43187e-05,4.293838501,7.8737945557,1.9873962402,2.6704864502
-2.72132e-05,1600.0,0.5928744674,99101.921875,27968.0,275.2861938477,4.7684e-06,4.7678985596,8.4068145752,2.303024292,3.3608398438
-5.19184e-05,49856.0,0.5922092199,99114.171875,218816.0,275.5681762695,4.768e-07,5.3695526123,8.9586486816,2.3094787598,3.3273162842
-7.97061e-05,282624.0,0.5906825662,99198.078125,523392.0,276.0689086914,0.0,4.6086120605,8.3601531982,2.5448608398,4.0193786621
-9.35802e-05,503296.0,0.5898194313,99202.8359375,731648.0,276.6282348633,0.0,4.933807373,7.6845092773,3.5701904297,5.4337921143
-0.0001087678,451136.0,0.5891004205,99172.078125,719232.0,277.0455322266,9.537e-07,5.9365844727,9.5176849365,3.924621582,6.0410766602
-7.9189e-05,166720.0,0.5887252688,99149.1875,448128.0,277.1135253906,9.5367e-06,5.6563262939,9.350982666,4.318649292,6.4627990723
-6.84566e-05,52288.0,0.5884947181,99125.390625,221952.0,276.6226806641,0.0004940033,6.1464080811,10.0357055664,4.0073852539,6.1781768799
-6.54662e-05,16960.0,0.5890685916,99128.796875,56192.0,276.0076904297,0.0004496574,5.7054138184,9.6318664551,3.8727264404,5.9131622314
-4.69845e-05,0.0,0.5891993642,99135.0546875,0.0,275.2819824219,0.0008215904,5.265411377,9.1143951416,3.8455963135,5.9845581055
-3.96695e-05,0.0,0.5900126696,99154.9375,0.0,275.7759094238,0.0003643036,5.4167480469,9.7764282227,3.0314788818,4.5431213379
-4.3672e-05,0.0,0.5912239552,99186.6328125,0.0,276.6337890625,0.0004611015,6.1572570801,10.774810791,1.7113189697,2.2200775146
-5.06185e-05,0.0,0.5919988751,99259.109375,0.0,276.7523803711,0.00035429,6.6543121338,11.5224304199,0.5264892578,0.3919219971
-3.45579e-05,0.0,0.591612339,99360.703125,0.0,277.1141357422,0.0001120567,6.6724395752,11.2355041504,-0.2121734619,-0.8374481201
-3.08005e-05,0.0,0.5914912224,99453.125,0.0,277.1663818359,7.10487e-05,6.2089996338,10.2932891846,-1.0437774658,-2.1696777344
-1.7958e-05,0.0,0.5921384096,99541.84375,0.0,276.9783935547,4.00543e-05,4.8625183105,8.6353912354,-0.5237579346,-1.6655426025
-2.76491e-05,0.0,0.5919648409,99651.5078125,0.0,276.8901977539,5.53131e-05,4.8225860596,8.6200866699,-0.4491882324,-1.5568084717
-2.77129e-05,0.0,0.5919152498,99752.9140625,0.0,276.3711547852,0.0001091957,4.8608551025,8.4143676758,-1.4195709229,-3.0172729492
-3.13534e-05,0.0,0.5921995044,99836.921875,0.0,275.8160095215,6.1512e-05,4.8508605957,8.0756530762,-2.9339447021,-5.2894744873
-3.64643e-05,0.0,0.5923130512,99952.21875,0.0,275.0797729492,6.00815e-05,4.7685699463,7.6312408447,-3.7403106689,-6.4179382324
-3.79209e-05,0.0,0.5920988321,100075.34375,0.0,274.5728149414,2.71797e-05,4.5615081787,7.2821350098,-3.8069152832,-6.7392730713
-4.51165e-05,0.0,0.5916282535,100184.984375,0.0,274.1783447266,8.1062e-06,4.0411376953,6.4823608398,-3.6401977539,-6.6588134766
-4.45244e-05,0.0,0.5912339687,100307.359375,0.0,273.4793701172,1.9073e-06,3.802734375,6.2125396729,-3.2189941406,-6.1697235107
-3.33479e-05,0.0,0.5909309983,100418.015625,0.0,272.796295166,4.768e-07,4.0404663086,6.8954162598,-2.3733062744,-4.9081268311
-1.63356e-05,0.0,0.590754509,100524.546875,0.0,272.2420043945,0.0,4.5547943115,7.972366333,-1.7257537842,-3.7650756836
-1.60192e-05,16704.0,0.5906162262,100675.15625,44224.0,272.5487670898,0.0,4.8223114014,8.2642059326,-1.6068572998,-3.5237121582
-3.51791e-05,157376.0,0.5902237892,100744.875,294784.0,273.366394043,0.0,4.8262329102,7.9834136963,-1.7672576904,-3.6235198975
-5.04463e-05,321472.0,0.5894060731,100861.75,531328.0,274.1594848633,0.0,4.3245849609,7.1170501709,-1.6501922607,-3.5703735352
-7.28799e-05,536960.0,0.5887073278,100924.484375,764544.0,275.0060424805,0.0,4.2549743652,6.2777404785,-1.7797088623,-3.0780029297
-7.55622e-05,506560.0,0.58812958,100985.796875,752512.0,275.6011352539,0.0,3.6326141357,5.2607269287,-1.8616333008,-3.0524139404
-6.52303e-05,459584.0,0.5877557993,101050.890625,678912.0,275.9277954102,0.0,2.8396606445,4.2169189453,-1.4188537598,-2.3874816895
-3.74478e-05,263104.0,0.5875977278,101075.515625,426880.0,275.6576538086,0.0,2.1583862305,3.8521118164,-0.8033447266,-1.8153991699
-9.7149e-06,63744.0,0.5875694752,101130.8515625,130432.0,273.9674682617,0.0,1.7767333984,4.2627716064,0.0964355469,-0.3730621338
8.561e-07,0.0,0.5875943303,101204.484375,0.0,272.3678588867,0.0,1.8459320068,4.7696685791,0.5710601807,0.6342010498
2.3902e-06,0.0,0.5876521468,101228.75,0.0,271.8912353516,0.0,1.6767730713,4.7197723389,1.1670074463,1.7525024414
3.9414e-06,0.0,0.5877245069,101242.28125,0.0,271.8397216797,0.0,1.7938690186,5.0503540039,1.6939086914,2.6891326904
3.0994e-06,0.0,0.5878253579,101237.578125,0.0,272.0018005371,0.0,2.0547180176,5.4132080078,1.9583740234,3.25390625
4.804e-06,0.0,0.5879401565,101254.953125,0.0,272.2401733398,0.0,2.3154296875,5.7682647705,1.9375915527,3.2125549316
5.5614e-06,0.0,0.5880511403,101263.578125,0.0,272.0050048828,0.0,2.202255249,5.5890808105,2.0274505615,3.4002380371
6.018e-06,0.0,0.5882279873,101244.90625,0.0,271.6072387695,0.0,2.1569213867,5.3387908936,2.4654998779,4.3756561279
5.364e-06,0.0,0.5883865356,101230.1640625,0.0,271.388092041,0.0,2.1587982178,5.2894897461,2.5881958008,4.7610168457
3.5265e-06,0.0,0.588508904,101221.953125,0.0,271.448425293,0.0,2.21925354,5.3524475098,2.5425872803,4.6306304932
1.6876e-06,0.0,0.5885719657,101201.734375,0.0,271.4059143066,0.0,2.1260223389,5.0816497803,2.7328491211,4.8968200684
1.7919e-06,0.0,0.5886539817,101154.8515625,0.0,271.2769775391,0.0,1.8850402832,4.6957092285,2.9406433105,5.4122619629
6.757e-07,0.0,0.5887268782,101083.9296875,0.0,271.1891174316,0.0,1.6169586182,4.1482391357,3.2807006836,6.1024780273
-3.1344e-06,0.0,0.5887609124,101019.8359375,0.0,271.1933898926,0.0,1.5394592285,3.9500579834,3.6071777344,6.6442718506
-4.8927e-06,0.0,0.5887340903,100966.109375,0.0,271.4881591797,0.0,1.4401245117,3.7060852051,3.8947143555,6.9792938232
-7.2902e-06,0.0,0.5886484981,100913.90625,0.0,271.8359985352,0.0,1.4285888672,3.5552825928,4.143737793,7.3002624512
-7.7344e-06,0.0,0.5885512233,100893.0625,0.0,272.1875610352,0.0,1.4920806885,3.6109313965,4.4480438232,7.8206787109
-1.1513e-05,64.0,0.5884187818,100859.3125,28544.0,272.736328125,0.0,1.458770752,3.3820495605,4.7942047119,8.3237609863
-2.38027e-05,1344.0,0.5881891847,100819.375,172864.0,273.3732910156,0.0,1.5894622803,3.342880249,5.1430511475,8.5710296631
-3.81928e-05,12352.0,0.5880282521,100756.875,329216.0,274.1862792969,2.3842e-06,2.1636352539,4.0996246338,5.0476531982,8.239654541
-4.29177e-05,59712.0,0.5879638195,100701.921875,448128.0,274.9750061035,1.62125e-05,2.2825469971,4.3099060059,4.9681396484,8.0190734863
-3.86147e-05,30912.0,0.5881999135,100608.53125,366848.0,275.1322937012,6.53267e-05,1.3288116455,3.8286437988,4.4152832031,8.6858520508
-3.71232e-05,58048.0,0.5883716345,100594.984375,327104.0,274.8533935547,8.72612e-05,2.5532836914,4.7488250732,4.6604766846,7.5296478271
-2.66617e-05,36608.0,0.5885706544,100548.875,217216.0,274.5623168945,7.29561e-05,2.2691955566,4.3909912109,4.1969299316,6.9369354248
-1.60779e-05,11008.0,0.5886978507,100550.1875,61952.0,274.2922363281,6.00815e-05,2.2617340088,4.626083374,3.871887207,6.5772094727
-1.24222e-05,0.0,0.5889185667,100544.546875,0.0,274.2708129883,4.62532e-05,1.9954528809,4.3817596436,3.5695495605,6.1712188721
-1.16031e-05,0.0,0.5890524983,100525.9375,0.0,274.4035644531,3.8147e-05,1.9762573242,4.4875640869,3.5104980469,6.2752075195
-1.06897e-05,0.0,0.5891026258,100534.6875,0.0,274.3233032227,2.43187e-05,1.9742279053,4.5104980469,3.3703460693,5.9183654785
-4.377e-06,0.0,0.5891865492,100507.8125,0.0,274.3332824707,3.48091e-05,1.6897277832,4.0018310547,3.3749389648,5.9320373535
-2.1418e-06,0.0,0.5892711878,100471.09375,0.0,274.3206176758,3.71933e-05,1.6993865967,3.9710845947,3.3822174072,6.0899658203
-1.1607e-06,0.0,0.5893319845,100480.84375,0.0,274.2255554199,8.5831e-06,1.8272247314,4.2083740234,3.1726989746,5.8013000488
-1.0852e-06,0.0,0.5892122984,100443.6875,0.0,273.8815917969,1.4305e-06,1.4446868896,3.5992889404,3.4944152832,6.3932037354
-2.8326e-06,0.0,0.589312315,100424.03125,0.0,273.8493041992,1.4305e-06,1.545425415,3.5735168457,3.4719238281,6.3997955322
-2.203e-06,0.0,0.5895795822,100390.046875,0.0,273.8308105469,1.9073e-06,1.8957519531,3.8986358643,3.6371459961,6.4133300781
1.807e-07,0.0,0.5898191929,100391.171875,0.0,273.7299804688,1.43051e-05,2.1546630859,4.3483734131,3.6134490967,6.2917480469
6.0773e-06,0.0,0.5899394751,100333.4375,0.0,273.3681640625,1.33514e-05,2.0660095215,4.7101135254,3.2099761963,5.8520507812
5.082e-06,0.0,0.590061605,100320.828125,0.0,273.2941894531,1.90735e-05,2.1522979736,5.088973999,2.9799194336,5.5063171387
-7.427e-07,0.0,0.5900442004,100318.984375,0.0,273.5474853516,2.28882e-05,2.8818054199,5.9302368164,2.6306152344,4.5846099854
-5.015e-07,0.0,0.5899415612,100311.0,0.0,273.8636474609,2.861e-06,2.6258239746,5.5528869629,1.9856872559,3.2903289795
-1.1062e-06,0.0,0.589920342,100326.828125,0.0,274.0040283203,4.768e-07,2.1543884277,5.0281524658,1.9336395264,3.1784820557
-3.2356e-06,0.0,0.5899080634,100356.265625,0.0,273.9982910156,4.768e-07,2.1294555664,4.9828033447,2.1902160645,3.6814727783
-2.5362e-06,768.0,0.5898644924,100388.3125,29312.0,273.6789245605,4.768e-07,2.1936645508,4.9739532471,2.1779785156,3.5386199951
-1.33533e-05,22080.0,0.5897248983,100397.28125,191232.0,273.8983459473,0.0,2.1570129395,4.7011260986,2.2153930664,3.331741333
-2.67331e-05,129600.0,0.589684248,100394.46875,421760.0,274.5834350586,0.0,2.1921234131,4.4278717041,2.2050170898,3.3379364014
-3.45684e-05,193280.0,0.5893737674,100371.1015625,559232.0,274.8953552246,0.0,3.0083770752,4.6082611084,1.626373291,2.2873840332
-4.28308e-05,288320.0,0.5890345573,100323.53125,603328.0,275.3538208008,0.0,4.1336975098,6.0133209229,1.1474456787,1.6028900146
-3.93123e-05,292224.0,0.5887475014,100308.234375,560640.0,275.5703735352,0.0,3.5717010498,5.5437011719,1.3181610107,1.8169250488
-2.42314e-05,157952.0,0.5886049867,100266.90625,355072.0,275.4549560547,0.0,2.2467193604,4.2149200439,1.8815612793,2.8712005615
-6.9677e-06,37248.0,0.5885685086,100244.796875,107392.0,274.98828125,0.0,1.4756622314,3.5740203857,2.3443145752,4.2963409424
4.629e-07,0.0,0.5885618329,100233.765625,384.0,274.622467041,0.0,1.7367248535,3.9743347168,2.7017364502,4.9839324951
-6.952e-07,0.0,0.5885492563,100164.796875,0.0,274.5682373047,0.0,1.2463378906,3.1356048584,2.9520111084,5.5350494385
-9.174e-07,0.0,0.5885965228,100058.71875,0.0,274.3553771973,0.0,0.5780944824,2.0469818115,3.180557251,6.2337646484
1.6557e-06,0.0,0.5886191726,99996.46875,0.0,273.9765014648,0.0,0.6563110352,2.5493011475,3.7702484131,6.867980957
6.279e-07,0.0,0.5886641145,99855.1875,0.0,273.5333862305,0.0,-0.2668762207,1.0144348145,3.9795837402,7.6956481934
9.8e-07,0.0,0.5887047648,99743.484375,0.0,273.1746520996,0.0,-0.8401489258,-0.1971130371,4.1140594482,8.1795806885
3.667e-07,0.0,0.5882949233,99626.390625,0.0,272.7860107422,0.0,-0.5782165527,-0.2657623291,4.8617706299,8.9661254883
-2.6308e-06,0.0,0.5882843733,99528.421875,0.0,272.5100708008,0.0,-1.4271087646,-1.6630859375,4.8744812012,9.139541626
-6.9656e-06,0.0,0.5882555246,99386.3046875,0.0,272.2849731445,0.0,-1.9778900146,-2.9691009521,5.0404205322,9.4050598145
-1.11344e-05,0.0,0.588173151,99289.7890625,0.0,272.3089599609,0.0,-1.7426605225,-2.5904693604,5.1682128906,9.436050415
