name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;waste_biomass_out_bus;expandable
DW_biofiltration_1;biofiltration;water;water-treatment;0;300.0;inf;0;0;1000.0;40.0;25.0;0.12;0.85;0.0;2.0;0.06;0.005;ac-elec-bus;DW_coagulation_flocculation_1_out_bus;DW_parallel_6_out_bus;biomass-bus;True
DW_biofiltration_2;biofiltration;water;water-treatment;0;300.0;inf;0;0;1000.0;40.0;25.0;0.12;0.85;0.0;2.0;0.06;0.005;ac-elec-bus;DW_biological_denitrification_1_out_bus;DW_parallel_16_out_bus;biomass-bus;True
