name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;sludge_out_bus;expandable
black_water_septic;septic_system;water;wastewater-treatment;50.0;100.0;inf;0;0;200.0;30.0;35.0;0.13;0.7;0.0;0.1;0.05;0.02;ac-elec-bus;black-water-bus;wwtp-ip-water-bus;biomass-bus;True
grey_water_septic;septic_system;water;wastewater-treatment;50.0;100.0;inf;0;0;200.0;30.0;35.0;0.13;0.7;0.0;0.1;0.05;0.02;ac-elec-bus;grey-water-bus;wwtp-ip-water-bus;biomass-bus;True
decentralized_WWTP;decentralized_WWTP;water;wastewater-treatment;100.0;275.0;inf;0;0;650.0;35.0;25.0;0.35;0.8;0.0;1.0;0.1;0.02;ac-elec-bus;wwtp-ip-water-bus;wwtp-op-water-bus;biomass-bus;True
