name;type;carrier;tech;storage_capacity;storage_capacity_potential;capacity;efficiency;capacity_cost;storage_capacity_cost;marginal_cost;annuity;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;bus;invest_relation_output_capacity;invest_relation_input_output;output_parameters;expandable;verbose_name
battery-storage;storage;electricity;battery;3080.0;inf;303.0;0.9;0.0;1291.7272727272727;0.0;142.09;850.0;20.0;12.5;0.0;0.1;0.0;0.0;dc-elec-bus;0.1;1.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.1, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 142.09}}";True;Battery Storage
drinking-water-storage;storage;water;water-storage;0.0;inf;0.0;0.98;0.0;388.54545454545456;0.0;42.74;300.0;7.5;20.0;0.0;1.5;0.0;0.0;drinking-water-bus;;1.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 1.5, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 42.74}}";True;Drinking Water Storage
