name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;carrier_cost;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;indirect_water_consumption_factor;profile;output_parameters;expandable;verbose_name
hu_waste;volatile;urine;source;2000.0;0.0;human-urine-bus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;human-urine-profile;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}";False;Human Urine
hf_waste;volatile;feces;source;2000.0;0.0;human-feces-bus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;human-feces-profile;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}";False;Human Feces
au_waste;volatile;urine;source;1000.0;0.0;animal-urine-bus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;animal-urine-profile;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}";False;Animal Urine
af_waste;volatile;feces;source;1000.0;0.0;animal-feces-bus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;animal-feces-profile;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}";False;Animal Feces
hh_gw_waste;volatile;water;source;2000.0;0.0;grey-water-bus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;household-grey-water-profile;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}";False;Household Grey Water
