name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;annuity;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;sludge_out_bus;expandable;verbose_name;output_parameters
grey_water_septic;septic_system;water;wastewater-treatment;0.5;32656.72727272727;inf;0.0;0.0;3592.24;25000.0;1000.0;35.0;0.13;0.7;0.0;0.1;0.05;0.02;ac-elec-bus;grey-water-bus;wwtp-ip-water-bus;biomass-bus;True;Grey Water Septic;"{""custom_attributes"": {""ghg_emission_factor"": 0.05, ""land_requirement_factor"": 0.1, ""water_consumption_factor"": 0.02, ""resource_cost"": 0.0, ""annuity"": 3592.24}}"
decentralized_WWTP;decentralized_WWTP;water;wastewater-treatment;0.0;22896.545454545452;inf;0.0;0.0;2518.62;15600.0;800.0;25.0;0.35;0.8;0.0;1.0;0.1;0.02;ac-elec-bus;wwtp-ip-water-bus;wwtp-op-water-bus;biomass-bus;True;Decentralized Wastewater Treatment Plant;"{""custom_attributes"": {""ghg_emission_factor"": 0.1, ""land_requirement_factor"": 1.0, ""water_consumption_factor"": 0.02, ""resource_cost"": 0.0, ""annuity"": 2518.62}}"
