name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;efficiency;annuity;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;from_bus;to_bus;output_parameters;expandable;verbose_name
diesel-generator;conversion;energy;energy_conversion;300.0;976.7272727272726;inf;0.0;0.0;0.35;107.44;750.0;15.0;17.5;0.0;0.075;0.76;0.0;diesel-bus;ac-elec-bus;"{""custom_attributes"": {""ghg_emission_factor"": 0.76, ""land_requirement_factor"": 0.075, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 107.44}}";True;Diesel Generator
inverter;conversion;energy;energy_conversion;303.0;593.3636363636363;inf;0.0;0.0;0.94;65.27;350.0;15.0;12.5;0.0;0.15;0.0;0.0;dc-elec-bus;ac-elec-bus;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.15, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 65.27}}";True;Inverter
