bus,direction,asset,carrier,facade_type,Upfront Investment Costs
biomass-bus,in,biomass-excess,biomass,excess,
biomass-bus,out,apv-system,biomass,,
electricity-bus,in,electricity-excess,energy,excess,
electricity-bus,out,apv-system,energy,,
irrigation-bus,in,apv-system,water,,
irrigation-bus,out,water-source,water,dispatchable,
precipitation-bus,in,apv-system,water,,
precipitation-bus,out,atmosphere,water,dispatchable,
solar-radiation-bus,in,apv-system,energy,,
solar-radiation-bus,out,sun,energy,volatile,
water-harvest-bus,in,water-excess,water,excess,
water-harvest-bus,out,apv-system,water,,
