source,apv-system,apv-system,apv-system,atmosphere,biomass-bus,electricity-bus,irrigation-bus,precipitation-bus,solar-radiation-bus,sun,water-harvest-bus,water-source
target,biomass-bus,electricity-bus,water-harvest-bus,precipitation-bus,biomass-excess,electricity-excess,apv-system,apv-system,apv-system,solar-radiation-bus,water-excess,irrigation-bus
var_name,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08
2022-01-01 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,20.422671,3.2e-08,3.2e-08,3.2e-08,3.2e-08,20.422671
2022-01-01 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,20.134465,3.2e-08,3.2e-08,3.2e-08,3.2e-08,20.134465
2022-01-01 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,18.96063,3.2e-08,3.2e-08,3.2e-08,3.2e-08,18.96063
2022-01-01 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,17.573138,3.2e-08,3.2e-08,3.2e-08,3.2e-08,17.573138
2022-01-01 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,16.175493,3.2e-08,3.2e-08,3.2e-08,3.2e-08,16.175493
2022-01-01 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,15.856995,3.2e-08,3.2e-08,3.2e-08,3.2e-08,15.856995
2022-01-01 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,15.590931,3.2e-08,3.2e-08,3.2e-08,3.2e-08,15.590931
2022-01-01 08:00:00,1.1757275,0.39388723,3.2e-08,3.2e-08,1.1757275,0.39388723,16.37556,3.2e-08,2.2718016,2.2718016,3.2e-08,16.37556
2022-01-01 09:00:00,31.948281,7.1392989,3.2e-08,3.2e-08,31.948281,7.1392989,28.421468,3.2e-08,42.182656,42.182655999999994,3.2e-08,28.421468
2022-01-01 10:00:00,107.19018,16.66548,3.2e-08,3.2e-08,107.19018,16.66548,50.327778,3.2e-08,101.9174,101.9174016,3.2e-08,50.327778
2022-01-01 11:00:00,198.82529,24.337537,3.2e-08,3.2e-08,198.82529,24.337537,77.215131,3.2e-08,153.40484,153.4048448,3.2e-08,77.215131
2022-01-01 12:00:00,268.71118,29.26822,3.2e-08,3.2e-08,268.71118,29.26822,90.883037,3.2e-08,188.10422,188.104224,3.2e-08,90.883037
2022-01-01 13:00:00,301.61082,31.369435,3.2e-08,3.2e-08,301.61082,31.369435,90.366356,3.2e-08,203.32885,203.328848,3.2e-08,90.366356
2022-01-01 14:00:00,297.09124,30.363642,3.2e-08,3.2e-08,297.09124,30.363642,84.43944,3.2e-08,196.53873,196.5387296,3.2e-08,84.43944
2022-01-01 15:00:00,249.01885,26.402379,3.2e-08,3.2e-08,249.01885,26.402379,72.344311,3.2e-08,168.77114,168.771136,3.2e-08,72.344311
2022-01-01 16:00:00,169.84891,19.651962,3.2e-08,3.2e-08,169.84891,19.651962,56.910032,3.2e-08,122.90501,122.9050112,3.2e-08,56.910032
2022-01-01 17:00:00,83.373505,10.625666,3.2e-08,3.2e-08,83.373505,10.625666,40.473736,3.2e-08,64.748886,64.7488864,3.2e-08,40.473736
2022-01-01 18:00:00,12.684994,1.9156795,3.2e-08,3.2e-08,12.684994,1.9156795,18.381589,3.2e-08,11.364067,11.364067200000001,3.2e-08,18.381589
2022-01-01 19:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.729743,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.729743
2022-01-01 20:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,7.4612359,3.2e-08,3.2e-08,3.2e-08,3.2e-08,7.4612359
2022-01-01 21:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,9.623516,3.2e-08,3.2e-08,3.2e-08,3.2e-08,9.623516
2022-01-01 22:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,7.3476779,3.2e-08,3.2e-08,3.2e-08,3.2e-08,7.3476779
2022-01-01 23:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.2249397,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.2249397
2022-01-02 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.481715,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.481715
2022-01-02 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.029459,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.029459
2022-01-02 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.156296,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.156296
2022-01-02 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.358639,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.358639
2022-01-02 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.557699,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.557699
2022-01-02 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.51712,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.51712
2022-01-02 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.48877,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.48877
2022-01-02 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.347023,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.347023
2022-01-02 08:00:00,0.81542109,0.38839104,3.2e-08,3.2e-08,0.81542109,0.38839104,13.470431,3.2e-08,2.2262656,2.2262656,3.2e-08,13.470431
2022-01-02 09:00:00,24.518194,7.1450781,3.2e-08,3.2e-08,24.518194,7.1450781,23.902081,3.2e-08,41.909434,41.9094336,3.2e-08,23.902081
2022-01-02 10:00:00,98.338676,16.689184,3.2e-08,3.2e-08,98.338676,16.689184,47.44706,3.2e-08,101.6796,101.67960000000001,3.2e-08,47.44706
2022-01-02 11:00:00,181.83592,24.483117,3.2e-08,3.2e-08,181.83592,24.483117,74.115064,3.2e-08,153.56169,153.5616896,3.2e-08,74.115064
2022-01-02 12:00:00,250.91203,29.499277,3.2e-08,3.2e-08,250.91203,29.499277,96.069333,3.2e-08,188.78223,188.7822272,3.2e-08,96.069333
2022-01-02 13:00:00,295.47239,31.524856,3.2e-08,3.2e-08,295.47239,31.524856,91.98879,3.2e-08,204.06248,204.06248000000002,3.2e-08,91.98879
2022-01-02 14:00:00,292.52045,30.465899,3.2e-08,3.2e-08,292.52045,30.465899,85.283978,3.2e-08,196.99408,196.99408,3.2e-08,85.283978
2022-01-02 15:00:00,246.6243,26.532703,3.2e-08,3.2e-08,246.6243,26.532703,75.254074,3.2e-08,169.49467,169.4946688,3.2e-08,75.254074
2022-01-02 16:00:00,165.70771,19.703549,3.2e-08,3.2e-08,165.70771,19.703549,57.353768,3.2e-08,123.04162,123.0416224,3.2e-08,57.353768
2022-01-02 17:00:00,79.490609,10.726919,3.2e-08,3.2e-08,79.490609,10.726919,39.851278,3.2e-08,65.184022,65.1840224,3.2e-08,39.851278
2022-01-02 18:00:00,12.794131,1.9656035,3.2e-08,3.2e-08,12.794131,1.9656035,20.384129,3.2e-08,11.652467,11.6524672,3.2e-08,20.384129
2022-01-02 19:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.239867,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.239867
2022-01-02 20:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.092103,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.092103
2022-01-02 21:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.22909,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.22909
2022-01-02 22:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.000394,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.000394
2022-01-02 23:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.111745,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.111745
2022-01-03 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.858067,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.858067
2022-01-03 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.542838,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.542838
2022-01-03 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.521836,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.521836
2022-01-03 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.50903,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.50903
2022-01-03 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.15296,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.15296
2022-01-03 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.891437,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.891437
2022-01-03 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.33277,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.33277
2022-01-03 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.234705,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.234705
2022-01-03 08:00:00,0.75814074,0.37536947,3.2e-08,3.2e-08,0.75814074,0.37536947,11.511738,3.2e-08,2.150368,2.150368,3.2e-08,11.511738
2022-01-03 09:00:00,23.066006,7.0378182,3.2e-08,3.2e-08,23.066006,7.0378182,20.975346,3.2e-08,41.226378,41.2263776,3.2e-08,20.975346
2022-01-03 10:00:00,99.750052,16.498119,3.2e-08,3.2e-08,99.750052,16.498119,46.159714,3.2e-08,100.58164,100.58164160000001,3.2e-08,46.159714
2022-01-03 11:00:00,186.3889,24.091975,3.2e-08,3.2e-08,186.3889,24.091975,75.394518,3.2e-08,151.30001,151.3000096,3.2e-08,75.394518
2022-01-03 12:00:00,258.89309,29.063767,3.2e-08,3.2e-08,258.89309,29.063767,92.556515,3.2e-08,186.32826,186.328256,3.2e-08,92.556515
2022-01-03 13:00:00,291.66948,30.847559,3.2e-08,3.2e-08,291.66948,30.847559,88.069804,3.2e-08,199.44805,199.448048,3.2e-08,88.069804
2022-01-03 14:00:00,287.63355,29.981309,3.2e-08,3.2e-08,287.63355,29.981309,81.846726,3.2e-08,193.60915,193.609152,3.2e-08,81.846726
2022-01-03 15:00:00,228.16356,25.507995,3.2e-08,3.2e-08,228.16356,25.507995,69.084355,3.2e-08,162.13281,162.1328128,3.2e-08,69.084355
2022-01-03 16:00:00,158.82928,19.132679,3.2e-08,3.2e-08,158.82928,19.132679,56.472777,3.2e-08,119.22661,119.22661120000001,3.2e-08,56.472777
2022-01-03 17:00:00,77.516001,10.446162,3.2e-08,3.2e-08,77.516001,10.446162,39.700816,3.2e-08,63.443491,63.443491200000004,3.2e-08,39.700816
2022-01-03 18:00:00,12.479195,1.975847,3.2e-08,3.2e-08,12.479195,1.975847,17.327418,3.2e-08,11.698013,11.698012799999999,3.2e-08,17.327418
2022-01-03 19:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,9.0542987,3.2e-08,3.2e-08,3.2e-08,3.2e-08,9.0542987
2022-01-03 20:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.984318,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.984318
2022-01-03 21:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.337352,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.337352
2022-01-03 22:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.113357,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.113357
2022-01-03 23:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.819074,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.819074
2022-01-04 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.479693,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.479693
2022-01-04 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.790458,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.790458
2022-01-04 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.533793,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.533793
2022-01-04 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.780054,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.780054
2022-01-04 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.030608,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.030608
2022-01-04 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.121724,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.121724
2022-01-04 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.238934,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.238934
2022-01-04 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.675538,3.2e-08,3.2e-08,3.2e-08,3.2e-08,11.675538
2022-01-04 08:00:00,0.67928013,0.35623408,3.2e-08,3.2e-08,0.67928013,0.35623408,11.784494,3.2e-08,2.039056,2.039056,3.2e-08,11.784494
2022-01-04 09:00:00,21.283647,6.7802728,3.2e-08,3.2e-08,21.283647,6.7802728,21.541988,3.2e-08,39.657878,39.6578784,3.2e-08,21.541988
2022-01-04 10:00:00,93.991484,16.025167,3.2e-08,3.2e-08,93.991484,16.025167,45.336568,3.2e-08,97.469933,97.4699328,3.2e-08,45.336568
2022-01-04 11:00:00,185.21733,23.719962,3.2e-08,3.2e-08,185.21733,23.719962,72.293033,3.2e-08,148.90678,148.9067776,3.2e-08,72.293033
2022-01-04 12:00:00,252.66084,28.625883,3.2e-08,3.2e-08,252.66084,28.625883,91.553274,3.2e-08,183.2115,183.211504,3.2e-08,91.553274
2022-01-04 13:00:00,277.18688,29.566004,3.2e-08,3.2e-08,277.18688,29.566004,86.788572,3.2e-08,190.42662,190.426624,3.2e-08,86.788572
2022-01-04 14:00:00,271.92518,28.647243,3.2e-08,3.2e-08,271.92518,28.647243,78.258064,3.2e-08,184.23356,184.2335552,3.2e-08,78.258064
2022-01-04 15:00:00,224.74814,24.998583,3.2e-08,3.2e-08,224.74814,24.998583,65.763889,3.2e-08,158.74788,158.7478816,3.2e-08,65.763889
2022-01-04 16:00:00,140.62529,17.209452,3.2e-08,3.2e-08,140.62529,17.209452,50.929475,3.2e-08,106.66846,106.6684576,3.2e-08,50.929475
2022-01-04 17:00:00,69.909682,9.3733749,3.2e-08,3.2e-08,69.909682,9.3733749,36.617637,3.2e-08,56.810234,56.810233600000004,3.2e-08,36.617637
2022-01-04 18:00:00,11.579082,1.7936288,3.2e-08,3.2e-08,11.579082,1.7936288,17.161167,3.2e-08,10.625354,10.6253536,3.2e-08,17.161167
2022-01-04 19:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.047966,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.047966
2022-01-04 20:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.3512842,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.3512842
2022-01-04 21:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.1221276,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.1221276
2022-01-04 22:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.7548709,3.2e-08,3.2e-08,3.2e-08,3.2e-08,8.7548709
2022-01-04 23:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,9.3333353,3.2e-08,3.2e-08,3.2e-08,3.2e-08,9.3333353
2022-01-05 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.778002,3.2e-08,3.2e-08,3.2e-08,3.2e-08,10.778002
2022-01-05 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.615065,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.615065
2022-01-05 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.980447,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.980447
2022-01-05 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.093756,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.093756
2022-01-05 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.616744,3.2e-08,3.2e-08,3.2e-08,3.2e-08,14.616744
2022-01-05 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.839446,3.2e-08,3.2e-08,3.2e-08,3.2e-08,13.839446
2022-01-05 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.963512,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.963512
2022-01-05 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.911283,3.2e-08,3.2e-08,3.2e-08,3.2e-08,12.911283
2022-01-05 08:00:00,0.5675424,0.3740383,3.2e-08,3.2e-08,0.5675424,0.3740383,12.781104,3.2e-08,2.1351904,2.1351904,3.2e-08,12.781104
2022-01-05 09:00:00,19.346988,7.1966258,3.2e-08,3.2e-08,19.346988,7.1966258,22.551838,3.2e-08,41.995456,41.995456000000004,3.2e-08,22.551838
