bus,direction,asset,carrier,facade_type,Capacity,Expandable,Investments
biomass-bus,in,biomass-excess,biomass,excess,,,
biomass-bus,out,apv-system,biomass,,320.0,0.0,
electricity-bus,in,electricity-excess,energy,excess,,,
electricity-bus,out,apv-system,energy,,320.0,0.0,
irrigation-bus,in,apv-system,water,,320.0,0.0,
irrigation-bus,out,water-source,water,dispatchable,0.0,1.0,190.22487
precipitation-bus,in,apv-system,water,,320.0,0.0,
precipitation-bus,out,atmosphere,water,dispatchable,0.0,1.0,959.3216
solar-radiation-bus,in,apv-system,energy,,320.0,0.0,
solar-radiation-bus,out,sun,energy,volatile,320.0,0.0,
water-harvest-bus,in,water-excess,water,excess,,,
water-harvest-bus,out,apv-system,water,,320.0,0.0,
