name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;annuity;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;sludge_out_bus;expandable;verbose_name
septic_system;septic_system;water;wastewater-treatment;0.0;0.0;inf;0.0;0.0;0.0;25000.0;1000.0;35.0;0.13;0.7;0.0;0.1;0.05;0.02;ac-elec-bus;grey-water-bus;wwtp-ip-water-bus;biomass-bus;True;Septic System
centralized_WWTP;centralized_WWTP;water;wastewater-treatment;0.0;0.0;inf;0.0;0.0;0.0;9600.0;480.0;30.0;1.0;0.92;0.0;0.14;0.4;0.02;ac-elec-bus;wwtp-ip-water-bus;wwtp-op-water-bus;biomass-bus;True;Centralized Wastewater Treatment Plant
decentralized_WWTP;decentralized_WWTP;water;wastewater-treatment;0.0;0.0;inf;0.0;0.0;0.0;15600.0;800.0;25.0;0.35;0.8;0.0;1.0;0.1;0.02;ac-elec-bus;wwtp-ip-water-bus;wwtp-op-water-bus;biomass-bus;True;Decentralized Wastewater Treatment Plant
