,Section,Component name,Capacity,Optimized Capacity,Capacity Total,Maximum Capacity,unit
28,Energy Supply,battery-storage,3080.0,0.0,3080.0,unconstrained,[kWh]
13,Energy Supply,diesel-generator,300.0,0.0,300.0,unconstrained,[kW]
14,Energy Supply,inverter,303.0,0.0,303.0,unconstrained,[kW]
32,Energy Supply,pv-panel,303.0,138.42,441.42,unconstrained,[kW]
1,Water Treatment,DW_core_treatment,0.0,10.24,10.24,unconstrained,[m³/h]
37,Water Treatment,DW_post_treatment,0.0,10.24,10.24,unconstrained,[m³/h]
3,Water Treatment,DW_pre_treatment,0.0,18.62,18.62,unconstrained,[m³/h]
34,Water Treatment,drinking-water-storage,0.0,105.45,105.45,unconstrained,[m³]
59,Water Treatment,groundwater-pump,20.0,0.0,20.0,unconstrained,[m³/h]
63,Sanitation,decentralized_WWTP,0.0,3.31,3.31,unconstrained,[m³/h]
61,Sanitation,grey_water_septic,0.5,3.64,4.14,unconstrained,[m³/h]
48,Sanitation,latrine,29.0,0.0,29.0,unconstrained,[kg/h]
25,Sanitation,open_field,0.0,3.46,3.46,unconstrained,[m³/h]
57,Sanitation,water_reuse_system,0.0,2.98,2.98,unconstrained,[m³/h]
