,Component name,Population,unit
17,af_waste,1000.0,[animals]
20,au_waste,1000.0,[animals]
50,hf_waste,2000.0,[persons]
44,hh_gw_waste,2000.0,[persons]
55,hu_waste,2000.0,[persons]
