bus,direction,asset,carrier,facade_type,Upfront Investment Costs,Annuity Total
DW_core_treatment_out_bus,in,DW_post_treatment,water,water-treatment,0.0,0.0
DW_core_treatment_out_bus,out,DW_core_treatment,water,water-treatment,282726.672,49996.216092109375
DW_pre_treatment_out_bus,in,DW_core_treatment,water,water-treatment,0.0,0.0
DW_pre_treatment_out_bus,out,DW_pre_treatment,water,water-treatment,14899.956,2107.039976695061
ac-elec-bus,in,DW_core_treatment,electricity,water-treatment,0.0,0.0
ac-elec-bus,in,DW_post_treatment,electricity,water-treatment,0.0,0.0
ac-elec-bus,in,DW_pre_treatment,electricity,water-treatment,0.0,0.0
ac-elec-bus,in,ac-electricity-excess,electricity,excess,,
ac-elec-bus,in,decentralized_WWTP,electricity,wastewater-treatment,0.0,0.0
ac-elec-bus,in,el_demand,electricity,load,,
ac-elec-bus,in,grey_water_septic,electricity,wastewater-treatment,0.0,0.0
ac-elec-bus,in,groundwater-pump,electricity,water-pump,0.0,0.0
ac-elec-bus,in,water_reuse_system,electricity,wastewater-treatment,0.0,0.0
ac-elec-bus,out,diesel-generator,electricity,conversion,0.0,0.0
ac-elec-bus,out,inverter,electricity,conversion,0.0,0.0
animal-feces-bus,in,excess-animal-feces,feces,excess,,
animal-feces-bus,in,open_field,feces,toilet,,0.0
animal-feces-bus,out,af_waste,feces,volatile,,0.0
animal-urine-bus,in,excess-animal-urine,urine,excess,,
animal-urine-bus,in,open_field,urine,toilet,,0.0
animal-urine-bus,out,au_waste,urine,volatile,,0.0
biomass-bus,in,excess-biomass,biomass,excess,,
biomass-bus,out,decentralized_WWTP,biomass,wastewater-treatment,0.0,0.0
biomass-bus,out,grey_water_septic,biomass,wastewater-treatment,0.0,0.0
biomass-bus,out,latrine,biomass,toilet,0.0,0.0
biomass-bus,out,open_field,biomass,toilet,,0.0
brine-bus,in,brine-excess,water,excess,,
brine-bus,out,DW_core_treatment,water,water-treatment,0.0,0.0
dc-elec-bus,in,battery-storage,electricity,storage,0.0,0.0
dc-elec-bus,in,dc-electricity-excess,electricity,excess,,
dc-elec-bus,in,inverter,electricity,conversion,0.0,0.0
dc-elec-bus,out,battery-storage,electricity,storage,0.0,0.0
dc-elec-bus,out,pv-panel,electricity,pv-panel,207627.0,24101.341484130862
diesel-bus,in,diesel-generator,energy,conversion,0.0,0.0
diesel-bus,out,diesel,energy,dispatchable,,0.0
drinking-water-bus,in,drinking-water-storage,water,storage,31634.360999999997,4506.842140790748
drinking-water-bus,in,dw_demand,water,load,,
drinking-water-bus,in,excess-drinking-water,water,excess,,
drinking-water-bus,out,DW_post_treatment,water,water-treatment,7170.603999999999,1659.789939095459
drinking-water-bus,out,drinking-water-storage,water,storage,31634.360999999997,4506.842140790748
dry-feces-bus,in,excess-dry-feces,dry-feces,excess,,
dry-feces-bus,out,dry_toilet,dry-feces,toilet,0.0,0.0
grey-water-bus,in,grey_water_septic,water,wastewater-treatment,0.0,0.0
grey-water-bus,in,greywater_disposal,water,excess,,
grey-water-bus,out,dry_toilet,water,toilet,0.0,0.0
grey-water-bus,out,hh_gw_waste,water,volatile,,0.0
groundwater-bus,in,groundwater-pump,water,water-pump,0.0,0.0
groundwater-bus,out,groundwater,water,dispatchable,,0.0
human-feces-bus,in,dry_toilet,feces,toilet,-0.0,-0.0
human-feces-bus,in,excess-human-feces,feces,excess,,
human-feces-bus,in,latrine,feces,toilet,0.0,0.0
human-feces-bus,in,open_field,feces,toilet,,0.0
human-feces-bus,out,hf_waste,feces,volatile,,0.0
human-urine-bus,in,dry_toilet,urine,toilet,0.0,0.0
human-urine-bus,in,excess-human-urine,urine,excess,,
human-urine-bus,in,latrine,urine,toilet,0.0,0.0
human-urine-bus,in,open_field,urine,toilet,,0.0
human-urine-bus,out,hu_waste,urine,volatile,,0.0
service-water-bus,in,excess-service-water,water,excess,,
service-water-bus,out,water_reuse_system,water,wastewater-treatment,75124.49616,12032.559351079393
untreated-water-bus,in,DW_pre_treatment,water,water-treatment,0.0,0.0
untreated-water-bus,out,groundwater-pump,water,water-pump,0.0,0.0
wwtp-ip-water-bus,in,decentralized_WWTP,water,wastewater-treatment,0.0,0.0
wwtp-ip-water-bus,out,grey_water_septic,water,wastewater-treatment,91011.485,13077.40383950464
wwtp-op-water-bus,in,water_reuse_system,water,wastewater-treatment,0.0,0.0
wwtp-op-water-bus,out,decentralized_WWTP,water,wastewater-treatment,51672.933000000005,8342.595421018066
