name;type;carrier;tech;capacity;capacity_cost;marginal_cost;carrier_cost;efficiency;from_bus;to_bus;expandable
wind-turbine;conversion;energy;energy_conversion;5.0;10;0;0;0.9;wind-bus;ac-elec-bus;True
hydro-power; conversion; energy;energy_conversion;0;10;0;0;0.9;riverflow-bus;ac-elec-bus;True
