name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;carrier_cost;profile;output_parameters;expandable
wind;volatile;energy;source;5.0;0;wind-bus;0;0;wind-speed-profile;{};True
river-flow;dispatchable;energy;source;12.0;0;riverflow-bus;0;0;river-flow-profile;{};True
