name;type;balanced;carrier
water-in-bus;bus;True;water
DW_intake_structure_1_out_bus;bus;True;water
DW_coarse_bar_screen_1_out_bus;bus;True;water
DW_cartridge_filter_1_out_bus;bus;True;water
DW_simple_oxidation_1_out_bus;bus;True;water
DW_coagulation_flocculation_1_out_bus;bus;True;water
DW_parallel_6_out_bus;bus;True;water
DW_microfiltration_1_out_bus;bus;True;water
DW_ultrafiltration_1_out_bus;bus;True;water
DW_parallel_9_out_bus;bus;True;water
DW_ion_exchange_1_out_bus;bus;True;water
DW_nanofiltration_1_out_bus;bus;True;water
DW_parallel_12_out_bus;bus;True;water
DW_membrane_distillation_1_out_bus;bus;True;water
DW_parallel_14_out_bus;bus;True;water
DW_biological_denitrification_1_out_bus;bus;True;water
DW_parallel_16_out_bus;bus;True;water
DW_parallel_17_out_bus;bus;True;water
DW_activated_carbon_filter_2_out_bus;bus;True;water
wwtp-op-water-bus;bus;True;water
wwtp-ip-water-bus;bus;True;water
wind-bus;bus;True;energy
service-water-bus;bus;True;water
human-urine-bus;bus;True;urine
black-water-bus;bus;True;water
riverflow-bus;bus;True;water
water-out-bus;bus;True;water
ac-elec-bus;bus;True;electricity
grey-water-bus;bus;True;water
human-feces-bus;bus;True;feces
