bus,direction,asset,carrier,facade_type,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,land_requirement_factor,water_footprint_factor,capacity_total,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total,land_requirement_additional,land_requirement_total,water_footprint
ac-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,39.64,0.0,1.0,0.0,0.92,350.0,3.6,15.0,,,0.0,-0.0,-0.0,-0.0,,,,
ac-elec-bus,in,elec-demand,electricity,load,20.0,40.0,60.0,,,20.0,60.0,120.0,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,mimo,electricity,,40.0,80.0,120.0,,,40.0,120.0,240.0,,,77.93,,0.0,1.0,,,500.0,10.0,10.0,10.0,,,,,,,,,
ac-elec-bus,out,backup-electricity-grid,electricity,dispatchable,60.0,120.0,180.0,,180.0,60.0,180.0,360.0,100000.0,0.0,0.0,,0.0,1.0,,,,,,,,180.0,0.0,,,36000000.0,,,
ac-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,39.64,0.0,1.0,0.0,0.92,350.0,3.6,15.0,,,0.0,-0.0,-0.0,-0.0,0.0,,,
ac-elec-bus,out,inverter,electricity,conversion,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.0,0.0,18.72,,0.0,1.0,,0.9,100.0,10.0,20.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
brine-bus,in,brine-excess,water,excess,12.222222,24.444444,36.666667,,,12.222222,36.666667,73.333333,0.0,,,,,,,,,,,,,,,,,,,,
brine-bus,out,mimo,water,,12.222222,24.444444,36.666667,,,12.222222,36.666667,73.333333,,,77.93,,0.0,1.0,,,500.0,10.0,10.0,10.0,,,,,,,,,
dc-elec-bus,in,inverter,electricity,conversion,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,0.0,0.0,18.72,,0.0,1.0,,0.9,100.0,10.0,20.0,1.0,0.0,,,,,0.0,,,0.0
dc-elec-bus,out,pv-panel,electricity,conversion,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.0,0.0,127.8,,0.0,1.0,,0.2,1378.0,18.0,24.0,9.29,10.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
permeate-bus,in,permeate-demand,water,load,10.0,20.0,30.0,,,10.0,30.0,60.0,,,,,,,,,,,,,,,,,,,,,
permeate-bus,in,water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,12.46,0.0,1.0,0.0,0.99,120.0,2.0,20.0,,,0.0,-0.0,-0.0,-0.0,,,,
permeate-bus,out,mimo,water,,10.0,20.0,30.0,,,10.0,30.0,60.0,,,77.93,,0.0,1.0,,,500.0,10.0,10.0,10.0,,,,,,,,,
permeate-bus,out,water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,12.46,0.0,1.0,0.0,0.99,120.0,2.0,20.0,,,0.0,-0.0,-0.0,-0.0,0.0,,,
seawater-bus,in,mimo,water,,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,,,77.93,,0.0,1.0,,,500.0,10.0,10.0,10.0,,0.0,-0.0,-0.0,-0.0,,-0.0,0.0,
seawater-bus,out,seawater-source,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,0.0,-0.0,,,0.0,,,
solar-bus,in,pv-panel,electricity,conversion,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,127.8,,0.0,1.0,,0.2,1378.0,18.0,24.0,9.29,10.0,,,,,0.0,,,0.0
solar-bus,out,solar-resource,electricity,dispatchable,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,
