name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;carrier_cost;profile;expandable
seawater-source;dispatchable;water;source;0;0;seawater-bus;0.0;0;1;True
backup-electricity-grid;dispatchable;electricity;source;0;0;ac-elec-bus;10000000.0;0;1;True
solar-resource;dispatchable;electricity;source;0;0;solar-bus;0.0;0;solar-irradiance;True
